"sol","f_avg","f_sng"
141234,91.03199998,91.091999987793
143214,91.04,91.0359999853516
143254,91.10399998,91.0479999853516
144234,91.03466666,91.019999987793
144244,91.01199999,90.991999987793
145234,91.04933331,90.8319999780273
214244,91.15866666,90.8759999902344
234124,91.05999998,90.8959999902344
234244,91.04933333,91.1799999780273
234424,91.13199998,91.1799999780273
241324,91.15066665,90.9599999902344
243234,91.03066665,90.8
243244,91.064,91.0960000146484
243324,90.99199999,90.8
243424,91.07199999,91.1799999780273
244324,91.05866667,90.896000012207
244424,91.11866665,91.171999987793
314214,90.99599998,90.9039999829102
314224,91.05466665,91.0919999951172
314243,90.99799998,91.1199999804688
334214,91.01999998,91.1399999731445
334224,90.97599999,91.1279999780274
334234,91.05999998,91.1679999731445
334244,91.06799998,90.9879999755859
341224,91.00399998,90.8479999902344
341234,91.10533332,91.0439999853516
341243,91.18799998,91.1239999755859
341244,91.14533334,91.0120000024414
342214,91.112,90.8959999902344
342224,91.00799998,90.999999987793
342234,91.26599998,91.3719999731445
342244,91.112,91.184
343234,91.11599998,91.2519999707031
343243,90.98599999,91.0279999804688
343244,91.11399998,90.8879999853516
343254,90.99999999,90.8439999951172
344214,91.22,91.1879999975586
344224,91.14999999,91.375999987793
344234,91.37799998,91.3599999755859
344243,91.24999999,91.0799999853516
344244,91.35066665,91.3919999853516
344254,91.12133333,91.3080000024414
345234,91.15199998,91.3079999829102
345244,91.01999998,91.2719999829102
411244,91.01199999,91.0559999804688
413244,91.05599999,90.995999987793
414213,91.28799998,91.3559999780273
414214,91.086,91.3000000195312
414224,91.004,91.0799999902344
414232,91.07799998,91.151999987793
414233,91.41599997,91.2799999707031
414234,91.252,91.0399999975586
414242,91.03199999,91.1319999755859
414243,91.20199999,91.0239999902344
414244,91.314,91.4719999951172
414254,91.02799999,90.9559999804688
415244,90.99999999,90.999999987793
421244,91.06399999,90.9839999853516
421342,90.99999998,90.9439999975586
422241,91.06133332,91.1679999975586
422243,90.99,90.6159999902344
422244,91.00399999,90.9799999780273
423142,90.98933332,90.9879999829102
423244,91.01799999,91.0079999780273
423342,91.05999998,91.0799999707031
423442,91.10599998,91.1199999731445
424132,90.99999998,90.867999987793
424234,91.20999999,91.1439999804688
424243,91.10399999,91.1599999853516
424244,91.21199999,91.2719999926758
424312,91.12799999,91.023999987793
424332,90.97733331,90.8319999780273
424342,91.07599999,91.123999987793
424412,91.04199999,91.0399999804688
424432,91.01333332,90.8799999902344
425244,90.99399999,90.9679999829102
431234,90.98533332,90.9839999926758
431242,91.05333331,91.1479999780273
431243,91.05999998,91.2479999731445
431244,91.04933332,91.0119999902344
431245,90.99999998,90.931999987793
432214,91.05799998,90.9999999780274
432234,91.20199998,91.0439999731445
432243,91.30199997,91.0599999755859
432244,91.15999999,91.1479999902344
433214,91.14933331,91.0719999780274
433234,91.23733332,91.0959999731445
433242,91.01466665,90.8879999951172
433243,91.03199998,90.9239999731445
433244,91.32799998,91.4399999853516
434213,91.29599998,91.167999987793
434214,91.28799999,91.2439999853516
434223,91.03999998,91.1039999780274
434224,91.01199999,90.9719999902344
434232,91.15399998,91.1159999780274
434233,91.33599999,91.2479999755859
434234,91.44799999,91.3799999853516
434243,91.43999998,91.551999987793
434244,91.53333331,91.4879999853516
434253,91.02999998,90.9639999755859
434254,91.00399999,91.0839999902344
435234,91.32399998,91.2079999902344
435241,90.97399998,90.8799999853516
435243,91.10199999,90.983999987793
435244,91.03399999,91.0079999829102
441224,91.36599999,91.3759999829102
441233,91.33799998,91.4679999780274
441234,91.35999999,91.1879999975586
441242,91.09799999,91.1719999755859
441243,91.50533331,91.5959999780274
441244,91.34399999,91.3839999902344
442214,91.22999999,91.4399999902344
442233,91.04799998,90.9919999780273
442234,91.418,91.3520000097656
442243,91.17999999,91.351999987793
442244,91.284,91.4239999951172
442254,90.98199999,91.0519999780273
443213,91.05599999,90.8519999975586
443214,91.29799999,91.2999999853516
443224,91.14599999,91.235999987793
443234,91.33399998,91.3959999804687
443241,90.986,90.9200000024414
443242,91.10266666,91.1199999951172
443243,91.51599999,91.5519999902344
443244,91.42266665,91.4879999902344
443254,91.05333332,91.0800000073242
444212,91.05999998,91.0479999804688
444213,91.36533333,91.264
444214,91.32266665,91.3879999780273
444223,91.25999999,91.087999987793
444224,91.11599999,91.0639999829102
444232,91.23799999,91.163999987793
444233,91.42399999,91.3119999853516
444234,91.49599998,91.3079999829102
444235,91.01999999,90.8439999926758
444241,91.00599999,91.079999987793
444242,91.08199999,90.9840000024414
444243,91.60666665,91.6839999829102
444244,91.55333332,91.4999999829102
444253,91.15199999,91.2799999829102
444254,91.01733332,90.8359999804688
445233,91.06399998,90.8279999829102
445234,91.48799999,91.5559999829102
445243,91.29999999,91.2519999804688
445244,91.38999999,91.5879999902344
451244,91.05199999,91.1639999780274
452241,90.98,90.8800000097656
452244,91.01066666,91.0760000024414
453244,90.99199998,91.0399999755859
454234,91.03,91.0799999951172
454243,91.02999999,90.9879999804687
455241,90.99400001,90.8800000097656
455243,91.02799998,90.9999999829102
541214,91.11199999,90.8800000097656
541234,91.344,91.119999987793
541244,91.08266665,90.8639999902344
