"sol","f_avg","f_sng"
111111,0.99999999923706,0.999999998855591
111123,0.99999999923706,0.999999998855591
111133,0.999999999364217,1
111142,0.999999999109904,1
111154,0.999999999364217,0.99999999923706
111155,0.999999999364217,0.99999999923706
112112,0.999999998982747,0.999999998855591
112115,0.999999999364217,0.99999999923706
112122,0.999999999364217,0.99999999923706
112135,0.999999999109904,0.99999999923706
113112,0.99999999923706,0.999999998855591
113114,0.99999999923706,0.999999998855591
113115,0.99999999923706,0.999999998855591
113122,0.999999999109904,0.999999998474121
113123,0.999999999109904,0.999999998855591
113124,0.999999999364217,0.99999999961853
113131,0.99999999923706,0.999999998855591
113134,0.999999999364217,0.999999998855591
113141,0.99999999923706,0.99999999923706
113143,0.999999999109904,0.99999999923706
113145,0.99999999923706,0.99999999923706
114113,0.99999999923706,0.99999999923706
114114,0.999999999364217,0.99999999923706
114121,0.999999999237061,0.99999999961853
114123,0.999999999364217,0.99999999961853
114125,0.999999999237061,0.999999998474121
114132,0.999999999109904,0.99999999923706
114134,0.999999999364217,0.99999999961853
114135,0.999999999109904,0.99999999961853
114141,0.999999999364217,0.99999999961853
114142,0.999999999109904,0.99999999961853
114151,0.999999998855591,0.999999998855591
114152,0.99999999923706,0.99999999923706
114153,0.999999999109904,0.999999998092651
115112,0.999999999109904,0.999999998855591
115115,0.999999999364217,0.999999998855591
115121,0.999999999364217,0.99999999961853
115123,0.999999999364217,0.99999999961853
115125,0.99999999923706,0.99999999923706
115143,0.999999999364217,0.999999998855591
121111,0.999999999364217,1
121121,0.99999999923706,0.99999999923706
122121,0.999999999364217,0.999999998855591
122131,0.999999999364217,0.999999998855591
124111,0.99999999923706,0.999999998855591
124121,0.999999998982747,0.999999998855591
125131,0.99999999923706,0.99999999923706
125151,0.999999998982747,0.999999998855591
131111,0.999999999364217,0.99999999961853
131131,0.999999998855591,0.999999998474121
132121,0.999999999364217,0.99999999961853
132141,0.99999999923706,0.999999998855591
133111,0.999999999109904,0.999999998855591
133141,0.999999999109904,1
134141,0.999999998982747,0.99999999923706
134151,0.99999999923706,1
135111,0.999999998982747,0.999999998474121
142121,0.999999999109904,0.999999998855591
142141,0.99999999923706,0.99999999961853
142151,0.99999999923706,0.99999999923706
145121,0.999999999364217,0.99999999923706
145141,0.999999999364217,0.99999999923706
145151,0.99999999923706,0.99999999961853
151141,0.999999998982747,0.999999998474121
152121,0.999999999364217,0.99999999923706
152151,0.999999999364217,1
153111,0.999999998982747,0.999999998855591
153131,0.99999999923706,0.999999998474121
153141,0.999999999364217,0.99999999923706
154111,0.99999999923706,0.99999999923706
154151,0.999999999364217,0.99999999961853
155111,0.999999999109904,0.999999998855591
155151,0.99999999923706,0.99999999923706
211114,0.999999999364217,0.999999998474121
212111,0.999999999109904,0.99999999961853
213111,0.99999999923706,0.99999999961853
214111,0.999999998855591,0.99999999961853
215111,0.999999998855591,0.999999998474121
223111,0.99999999923706,0.99999999961853
224111,0.999999999364217,1
225111,0.999999999364217,1
231111,0.999999999109904,0.999999998855591
232111,0.99999999923706,0.99999999923706
242111,0.999999998728434,0.999999998092651
252111,0.99999999923706,0.99999999961853
255111,0.99999999923706,1
311114,0.999999999364217,0.99999999923706
311115,0.99999999923706,0.999999998855591
314111,0.999999999364217,1
321111,0.99999999923706,0.99999999923706
322111,0.99999999923706,0.99999999961853
334111,0.999999999364217,0.99999999961853
344111,0.999999999364217,0.99999999961853
345111,0.999999999109904,0.99999999923706
352111,0.999999999364217,0.99999999923706
354111,0.999999999109904,0.99999999923706
411113,0.99999999923706,0.99999999961853
411114,0.999999999364217,0.99999999923706
412111,0.999999999364217,0.99999999923706
421111,0.999999999237061,0.99999999961853
434111,0.99999999923706,0.99999999923706
435111,0.999999999364217,0.99999999923706
443111,0.999999999364217,0.99999999923706
511111,0.99999999923706,0.99999999923706
512111,0.999999999109904,0.99999999923706
531111,0.999999999109904,1
535111,0.99999999923706,1
541111,0.999999999109904,0.99999999923706
542111,0.999999999364217,0.99999999961853
543111,0.999999999109904,0.99999999961853
551111,0.999999999364217,1
554111,0.99999999923706,0.99999999923706
555111,0.999999999109904,0.99999999923706
